did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
10,56,10_duration,3,17.457,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,18,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,8,9,0,0
10,57,10_duration,2,20.426,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,26,19,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,9,0,0
10,58,10_duration,3,19.743,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,17,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,8,9,0,0
10,59,10_duration,2,18.603,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,9,0,0
10,6,10_duration,2,19.399,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,9,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,6,0,0
10,60,10_duration,2,13.971,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,21,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,9,0,0
10,61,10_duration,0,26.8445,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,7,0,0
10,62,10_duration,0,11.946,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,11,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,8,0,0
10,63,10_duration,0,32.713,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,6,0,0
10,64,10_duration,0,24.615,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,14,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0
10,65,10_duration,0,45.291,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,15,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,6,0,0
10,66,10_duration,0,26.126,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,14,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0
10,67,10_duration,0,18.5585,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,10,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,7,0,0
10,68,10_duration,0,25.461,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,10,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,8,0,0
10,69,10_duration,0,32.599,C++,1,1,1,1,1,1,11,5,NA,NA,NA,NA,21,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,11,0,0
10,7,10_duration,0,10.126,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,70,10_duration,0,19.69,C++,1,1,1,1,1,1,11,5,NA,NA,NA,NA,21,12,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,11,0,0
10,71,10_duration,2,23.225,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,0,0
10,72,10_duration,0,16.354,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,0,0
10,73,10_duration,2,11.96,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,14,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,9,0,0
10,74,10_duration,2,12.7375,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22,15,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,9,0,0
10,75,10_duration,2,13.148,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,14,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,8,9,0,0
10,76,10_duration,2,12.007,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22,14,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
10,77,10_duration,1,35.289,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,29,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
10,78,10_duration,1,28.548,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,31,18,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,10,13,0,0
10,79,10_duration,2,24.0725,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36,18,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,9,11,0,0
10,8,10_duration,0,11.06,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,80,10_duration,2,32.7295,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,50,20,NA,NA,0,0,0,0,3,2,1,0,1,0,0,0,0,0,12,14,0,0
10,81,10_duration,2,32.971,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,27,15,NA,NA,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,8,0,0
10,82,10_duration,2,18.125,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,30,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,10,12,0,0
10,83,10_duration,2,40.59,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,34,19,NA,NA,0,0,0,0,3,1,1,0,1,0,0,0,0,0,9,11,0,0
10,84,10_duration,3,48.537,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,40,22,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,11,14,0,0
10,85,10_duration,1,43.295,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,49,25,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
10,86,10_duration,1,42.179,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36,19,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
10,87,10_duration,3,34.364,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,43,22,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,9,11,0,0
10,88,10_duration,3,42.402,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47,22,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,10,12,0,0
10,89,10_duration,4,42.521,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,44,21,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,12,12,0,0
